date,ticker,prc,ret,me_usd_mils,roa,gross_margin,rnd_to_rev,bm_ratio
2010-01-29,AAPL,192.063,-0.088591,174161.768085,,,,
2010-02-26,AAPL,204.62,0.06538,185548.3929,,,,
2010-03-31,AAPL,235.0,0.14847,213764.46,,,,
2010-04-30,AAPL,261.09,0.111021,237575.71242,,,,
2010-05-28,AAPL,256.88,-0.016125,233744.87344,,,,
2010-06-30,AAPL,251.53,-0.020827,229768.12746000002,,,,
2010-07-30,AAPL,257.25,0.022741,235014.08175,,,,
2010-08-31,AAPL,243.10001,-0.055005,222087.17443563,,,,
2010-09-30,AAPL,283.75,0.167215,259906.4875,,,,
2010-10-29,AAPL,300.98001,0.060723,276091.07003307,,,,
2010-11-30,AAPL,311.14999,0.03379,285420.06387693,,,,
2010-12-31,AAPL,322.56,0.03667,297089.0496,,,,
2011-01-31,AAPL,339.32001,0.051959,312608.06017278,,,,
2011-02-28,AAPL,353.20999,0.040935,325404.59316722,,,,
2011-03-31,AAPL,348.50751,-0.013314,322255.83330174006,0.18638522006304617,0.4080643924875431,0.027320812571866616,0.14830142719325587
2011-04-29,AAPL,350.13,0.004656,323784.46815,0.18638522006304617,0.4080643924875431,0.027320812571866616,0.14760127399891157
2011-05-31,AAPL,347.82999,-0.006569,321657.52240245003,0.18638522006304617,0.4080643924875431,0.027320812571866616,0.1485772807147506
2011-06-30,AAPL,335.67001,-0.03496,311133.87494904,0.18638522006304617,0.4080643924875431,0.027320812571866616,0.15360268954265296
2011-07-29,AAPL,390.48001,0.163285,362010.50295090995,0.18638522006304617,0.4080643924875431,0.027320812571866616,0.13201550676136226
2011-08-31,AAPL,384.82999,-0.014469,356772.42025909,0.18638522006304617,0.4080643924875431,0.027320812571866616,0.13395373993677517
2011-09-30,AAPL,381.32001,-0.009121,354351.91493277,0.18638522006304617,0.4080643924875431,0.027320812571866616,0.13486875048796398
2011-10-31,AAPL,404.78,0.061523,376206.17501999997,0.18638522006304617,0.4080643924875431,0.027320812571866616,0.12703406582164506
2011-11-30,AAPL,382.20001,-0.055783,355220.12909409,0.18638522006304617,0.4080643924875431,0.027320812571866616,0.1345391099369293
2011-12-30,AAPL,405.0,0.059655,377546.67,0.18638522006304617,0.4080643924875431,0.027320812571866616,0.12658302614614506
2012-01-31,AAPL,456.48001,0.127111,425608.2669237,0.18638522006304617,0.4080643924875431,0.027320812571866616,0.11228870234460843
2012-02-29,AAPL,542.44,0.188311,505754.78280000004,0.18638522006304617,0.4080643924875431,0.027320812571866616,0.09449441038484233
2012-03-30,AAPL,599.54999,0.105284,560568.44875018,0.22275309140593447,0.42162052305333075,0.022439006364954873,0.136673764231322
2012-04-30,AAPL,583.97998,-0.02597,546057.48805876,0.22275309140593447,0.42162052305333075,0.022439006364954873,0.14030574010140787
2012-05-31,AAPL,577.72998,-0.010702,540213.3505587599,0.22275309140593447,0.42162052305333075,0.022439006364954873,0.14182359603063247
2012-06-29,AAPL,584.0,0.010853,547363.344,0.22275309140593447,0.42162052305333075,0.022439006364954873,0.13997100982341265
2012-07-31,AAPL,610.76001,0.045822,572530.09793406,0.22275309140593447,0.42162052305333075,0.022439006364954873,0.13381829230718273
2012-08-31,AAPL,665.23999,0.093539,623599.9580659401,0.22275309140593447,0.42162052305333075,0.022439006364954873,0.12285921288002821
2012-09-28,AAPL,667.10498,0.002803,626550.33405584,0.22275309140593447,0.42162052305333075,0.022439006364954873,0.12228067855945288
2012-10-31,AAPL,595.32001,-0.107607,560012.77084692,0.22275309140593447,0.42162052305333075,0.022439006364954873,0.1368093800506253
2012-11-30,AAPL,585.28003,-0.012414,550568.24198076,0.22275309140593447,0.42162052305333075,0.022439006364954873,0.1391562283439468
2012-12-31,AAPL,532.17291,-0.090738,499695.99382143,0.22275309140593447,0.42162052305333075,0.022439006364954873,0.15332322241386415
2013-01-31,AAPL,455.48999,-0.144094,427731.51902942,0.22275309140593447,0.42162052305333075,0.022439006364954873,0.1791193694910529
2013-02-28,AAPL,441.39999,-0.025116,414500.19180942,0.22275309140593447,0.42162052305333075,0.022439006364954873,0.18483706766347227
2013-03-28,AAPL,442.66,0.002855,416142.01004,0.22275309140593447,0.42162052305333075,0.022439006364954873,0.18410782413588977
2013-04-30,AAPL,442.78,0.000271,415615.00421999994,0.23703312431842966,0.4591905845068623,0.02160272957292918,0.284421877939294
2013-05-31,AAPL,449.73499,0.022596,422143.29862851,0.23703312431842966,0.4591905845068623,0.02160272957292918,0.2800233958090755
2013-06-28,AAPL,396.53,-0.118303,360224.50626,0.23703312431842966,0.4591905845068623,0.02160272957292918,0.3281564633880831
2013-07-31,AAPL,452.53,0.141225,411122.14741,0.23703312431842966,0.4591905845068623,0.02160272957292918,0.2875301190770262
2013-08-30,AAPL,487.216,0.083389,442634.274352,0.23703312431842966,0.4591905845068623,0.02160272957292918,0.2670602048904934
2013-09-30,AAPL,476.75,-0.021481,428699.79775,0.23703312431842966,0.4591905845068623,0.02160272957292918,0.2757407412376135
2013-10-31,AAPL,522.70203,0.096386,470294.87906814006,0.23703312431842966,0.4591905845068623,0.02160272957292918,0.25135293889277666
2013-11-29,AAPL,556.07001,0.069673,500317.31865738006,0.23703312431842966,0.4591905845068623,0.02160272957292918,0.23627005420723968
2013-12-31,AAPL,561.02002,0.008902,500680.63378894003,0.23703312431842966,0.4591905845068623,0.02160272957292918,0.23609860662162332
2014-01-31,AAPL,500.60001,-0.107697,446529.70231989,0.23703312431842966,0.4591905845068623,0.02160272957292918,0.26473042976951927
2014-02-28,AAPL,526.23999,0.057311,469400.28244011005,0.23703312431842966,0.4591905845068623,0.02160272957292918,0.2518319745900072
2014-03-31,AAPL,536.73999,0.019953,462533.00268255,0.17892270531400967,0.41578023521151486,0.02618337136504593,0.26711391248506283
2014-04-30,AAPL,590.09003,0.099396,508292.34013142996,0.17892270531400967,0.41578023521151486,0.02618337136504593,0.24306681459739043
2014-05-30,AAPL,633.0,0.078293,545254.173,0.17892270531400967,0.41578023521151486,0.02618337136504593,0.22658973762682236
2014-06-30,AAPL,92.93,0.027662,556573.6610300001,0.17892270531400967,0.41578023521151486,0.02618337136504593,0.221981399140159
2014-07-31,AAPL,95.6,0.028731,572440.0852,0.17892270531400967,0.41578023521151486,0.02618337136504593,0.21582870101913681
2014-08-29,AAPL,102.5,0.077092,613756.3675,0.17892270531400967,0.41578023521151486,0.02618337136504593,0.20129974456028757
